,Symbol,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
0,PFE,61.88,316,0.6617849422014273,0.9384920634920636,0.567986134836524,0.996031746031746,0.371128829854344,0.992063492063492,0.16231659763566803,0.994047619047619,0.9801587301587301
1,AZO,2038.37,9,0.709954069347355,0.9563492063492063,0.4446301684431929,0.9761904761904762,0.25531774634285864,0.9623015873015873,0.06486601674385821,0.8888888888888888,0.9459325396825397
2,PLD,166.94,117,0.6996469469087374,0.9484126984126984,0.369830871243267,0.9563492063492063,0.2525163491159873,0.9603174603174603,0.0773715692247524,0.9186507936507937,0.9459325396825397
3,EXR,215.37,91,1.000050198419399,0.9781746031746031,0.3842607389210486,0.9682539682539683,0.21121507506086437,0.9384920634920636,0.06505056134563027,0.8908730158730158,0.9439484126984127
4,HPQ,37.07,528,0.5280261930211391,0.8492063492063493,0.2948618615687354,0.9166666666666667,0.34267389933711123,0.9880952380952381,0.1795222466037127,0.998015873015873,0.9379960317460319
5,MAA,230.02,85,0.8312632719569687,0.9682539682539683,0.3262717997569195,0.9365079365079364,0.18134980873316853,0.9126984126984127,0.08020116513231731,0.9265873015873016,0.9360119047619048
6,AVGO,648.18,30,0.502648874856965,0.8293650793650794,0.399642521260604,0.9722222222222223,0.26510606137276715,0.9682539682539683,0.10712494499660533,0.9682539682539683,0.9345238095238095
7,DRE,62.88,311,0.6332821134430872,0.9246031746031745,0.328843496646373,0.9384920634920636,0.2647386174507175,0.9662698412698413,0.06773053812306094,0.8948412698412699,0.9310515873015873
8,MCHP,84.75,231,1.482941449865174,0.998015873015873,1.364451835034918,1.0,1.121973231329924,1.0,0.012825473000694547,0.6746031746031745,0.9181547619047619
9,ANET,138.54,141,0.9071964958651052,0.9742063492063493,0.5054945791532038,0.9861111111111112,0.524300307763108,0.996031746031746,0.01911651892866858,0.7063492063492063,0.9156746031746033
